Sistema Termodinámico Controlado
Comandos:
1/0 - Encender/Apagar foco
2/3 - Encender/Apagar ventilador
SXX.X - Establecer setpoint (ej: S25.5)
C - Activar/Desactivar control automático
HX.X - Ajustar histéresis (ej: H1.0)
Tiempo(s),Humedad(%),TempAHT(°C),TempLM35(°C),Setpoint(°C),Foco,Ventilador,Control
170.758,67.73,36.810,33.236,55.0,1,0,1
171.158,67.71,36.839,33.724,55.0,1,0,1
171.558,67.63,36.884,33.236,55.0,1,0,1
171.958,67.53,36.904,33.724,55.0,1,0,1
172.358,67.55,36.933,33.236,55.0,1,0,1
172.758,67.52,36.981,33.236,55.0,1,0,1
173.158,67.49,37.015,33.236,55.0,1,0,1
173.558,67.41,37.048,33.236,55.0,1,0,1
173.958,67.41,37.079,33.724,55.0,1,0,1
174.358,67.34,37.118,33.724,55.0,1,0,1
174.758,67.33,37.144,33.724,55.0,1,0,1
175.158,67.29,37.190,33.724,55.0,1,0,1
175.558,67.21,37.213,33.724,55.0,1,0,1
175.958,67.12,37.251,33.724,55.0,1,0,1
176.358,67.08,37.270,33.724,55.0,1,0,1
176.758,67.03,37.300,33.236,55.0,1,0,1
177.158,66.97,37.332,33.724,55.0,1,0,1
177.558,66.92,37.375,33.724,55.0,1,0,1
177.958,66.82,37.419,33.724,55.0,1,0,1
178.358,66.76,37.432,33.724,55.0,1,0,1
178.758,66.69,37.453,33.724,55.0,1,0,1
179.158,66.71,37.498,33.724,55.0,1,0,1
179.558,66.61,37.515,33.724,55.0,1,0,1
179.958,66.49,37.542,33.724,55.0,1,0,1
180.358,66.47,37.591,34.213,55.0,1,0,1
180.758,66.34,37.615,33.724,55.0,1,0,1
181.158,66.36,37.646,33.724,55.0,1,0,1
181.558,66.27,37.677,33.724,55.0,1,0,1
181.958,66.19,37.695,33.724,55.0,1,0,1
182.358,66.13,37.734,33.724,55.0,1,0,1
182.758,66.06,37.770,34.213,55.0,1,0,1
183.158,66.03,37.797,34.213,55.0,1,0,1
183.558,66.00,37.838,33.724,55.0,1,0,1
183.958,65.91,37.863,34.213,55.0,1,0,1
184.358,65.80,37.901,33.724,55.0,1,0,1
184.758,65.82,37.924,34.213,55.0,1,0,1
185.158,65.74,37.956,34.213,55.0,1,0,1
185.558,65.66,37.980,34.213,55.0,1,0,1
185.958,65.66,38.019,34.213,55.0,1,0,1
186.358,65.62,38.044,33.724,55.0,1,0,1
186.758,65.57,38.084,33.724,55.0,1,0,1
187.158,65.50,38.107,34.213,55.0,1,0,1
187.558,65.46,38.147,34.213,55.0,1,0,1
187.958,65.43,38.164,34.213,55.0,1,0,1
188.358,65.37,38.219,34.213,55.0,1,0,1
188.758,65.37,38.243,34.213,55.0,1,0,1
189.158,65.35,38.267,34.213,55.0,1,0,1
189.558,65.27,38.297,34.213,55.0,1,0,1
189.958,65.27,38.337,34.213,55.0,1,0,1
190.358,65.17,38.357,34.702,55.0,1,0,1
190.758,65.16,38.389,34.213,55.0,1,0,1
191.158,65.14,38.428,34.702,55.0,1,0,1
191.558,65.08,38.459,34.213,55.0,1,0,1
191.958,65.04,38.485,34.702,55.0,1,0,1
192.358,65.00,38.535,34.213,55.0,1,0,1
192.758,64.96,38.566,34.213,55.0,1,0,1
193.158,64.92,38.582,34.702,55.0,1,0,1
193.558,64.90,38.618,34.213,55.0,1,0,1
193.958,64.80,38.654,34.702,55.0,1,0,1
194.358,64.80,38.672,34.213,55.0,1,0,1
194.758,64.73,38.697,34.702,55.0,1,0,1
195.158,64.68,38.733,34.702,55.0,1,0,1
195.558,64.61,38.755,34.213,55.0,1,0,1
195.958,64.56,38.794,34.213,55.0,1,0,1
196.358,64.52,38.820,34.702,55.0,1,0,1
196.758,64.44,38.847,34.702,55.0,1,0,1
197.158,64.40,38.882,34.702,55.0,1,0,1
197.558,64.34,38.921,34.702,55.0,1,0,1
197.958,64.32,38.947,34.702,55.0,1,0,1
198.358,64.26,38.966,34.702,55.0,1,0,1
198.758,64.21,39.000,34.213,55.0,1,0,1
199.158,64.17,39.030,34.702,55.0,1,0,1
199.558,64.09,39.067,34.213,55.0,1,0,1
199.958,64.07,39.076,34.702,55.0,1,0,1
200.358,64.02,39.115,34.702,55.0,1,0,1
200.758,64.02,39.153,34.702,55.0,1,0,1
201.158,63.92,39.185,34.702,55.0,1,0,1
201.558,63.92,39.218,34.702,55.0,1,0,1
201.958,63.87,39.236,34.213,55.0,1,0,1
